year,park,visits
2019,Great Sand Dunes National Park & Preserve,527546
2019,Great Smoky Mountains National Park,12547743
2019,Guadalupe Mountains National Park,188833
2019,Haleakala National Park,994394
2019,Hawaii Volcanoes National Park,1368376
2019,Hot Springs National Park,1467153
2019,Indiana Dunes National Park,2134285
2019,Isle Royale National Park,26410
2019,Joshua Tree National Park,2988547
2019,Katmai National Park & Preserve,84167
2019,Kenai Fjords National Park,356601
2019,Kings Canyon National Park,632110
2019,Kobuk Valley National Park,15766
2019,Lake Clark National Park & Preserve,17157
2019,Lassen Volcanic National Park,517039
2019,Mammoth Cave National Park,551590
2019,Mesa Verde National Park,556203
2019,Mount Rainier National Park,1501621
2019,New River Gorge National Park & Preserve,1195721
2019,North Cascades National Park,38208
2019,Olympic National Park,3245806
2019,Petrified Forest National Park,643588
2019,Pinnacles National Park,177224
2019,Redwood National Park,504722
2019,Rock Creek Park,2416232
2019,Rocky Mountain National Park,4670053
2019,Saguaro National Park,1020226
2019,Sequoia National Park,1246053
2019,Shenandoah National Park,1425507
2019,Theodore Roosevelt National Park,691658
2019,Virgin Islands National Park,133398
2019,Voyageurs National Park,232974
2019,White Sands National Park,608785
2019,Wind Cave National Park,615350
2019,Wrangell-St. Elias National Park & Preserve,74518
2019,Yellowstone National Park,4020288
2019,Yosemite National Park,4422861
2019,Zion National Park,4488268
2020,Acadia National Park,2669034
2020,Arches National Park,1238083
2020,Badlands National Park,916932
2020,Big Bend National Park,393907
2020,Biscayne National Park,402770
2020,Black Canyon of the Gunnison National Park,341620
2020,Bryce Canyon National Park,1464655
2020,Canyonlands National Park,493914
2020,Capitol Reef National Park,981038
2020,Carlsbad Caverns National Park,183835
2020,Channel Islands National Park,167290
2020,Congaree National Park,119306
2020,Crater Lake National Park,670500
2020,Cuyahoga Valley National Park,2755628
2020,Death Valley National Park,820023
2020,Denali National Park & Preserve,54850
2020,Dry Tortugas National Park,48543
2020,Everglades National Park,702319
2020,Gates of the Arctic National Park & Preserve,2872
2020,Gateway Arch National Park,486021
2020,Glacier Bay National Park & Preserve,5748
2020,Glacier National Park,1698864
2020,Grand Canyon National Park,2897098
2020,Grand Teton National Park,3289638
2020,Great Basin National Park,120248
2020,Great Sand Dunes National Park & Preserve,461532
2020,Great Smoky Mountains National Park,12095720
2020,Guadalupe Mountains National Park,151256
2020,Haleakala National Park,319147
2020,Hawaii Volcanoes National Park,589775
2020,Hot Springs National Park,1348215
2020,Indiana Dunes National Park,2293106
2020,Isle Royale National Park,6493
2020,Joshua Tree National Park,2399542
2020,Katmai National Park & Preserve,51511
2020,Kenai Fjords National Park,115882
2020,Kings Canyon National Park,415077
2020,Kobuk Valley National Park,11185
